MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
3.5673,11.0,5.932584269662922,1.1348314606741574,1257.0,2.8247191011235957,39.29,-121.32
3.5179,15.0,6.145833333333333,1.1412037037037037,1200.0,2.7777777777777777,39.33,-121.4
3.125,15.0,6.023376623376623,1.0805194805194804,1047.0,2.7194805194805194,39.26,-121.45
2.5495,27.0,5.445026178010472,1.0785340314136125,1082.0,2.832460732984293,39.19,-121.53
3.7125,28.0,6.77906976744186,1.1482558139534884,1041.0,3.0261627906976742,39.27,-121.56
1.5603,25.0,5.045454545454546,1.1333333333333333,845.0,2.5606060606060606,39.48,-121.09
2.5568,18.0,6.114035087719298,1.3157894736842106,356.0,3.1228070175438596,39.49,-121.21
1.7,17.0,5.20554272517321,1.120092378752887,1007.0,2.325635103926097,39.43,-121.22
1.8672,18.0,5.329512893982808,1.171919770773639,741.0,2.1232091690544412,39.43,-121.32
2.3886,16.0,5.254716981132075,1.1622641509433962,1387.0,2.616981132075472,39.37,-121.24
